Docket Number:,Date Filed:,Date Terminated:,Nature of Suit:,Cause:
,"[' September 9th, 2014 ']",,[' 840 Trademark '],[' 15:1114 Trademark Infringement ']
['2:14-cv-07012'],"[' September 9th, 2014 ']","[' January 1st, 2015 ']",[' 840 Trademark '],[' 15:1114 Trademark Infringement ']
['3:18-cv-00121-RGJ-CHL'],"[' February 27th, 2018 ']",,[' Trademark '],[' 15:1114 Trademark Infringement ']
['2:08-cv-08191'],"[' December 10th, 2008 ']",,[' Trademark '],"["" 15:1114 Trademark Infringement '""]"
['1:12-cv-01032'],"[' August 13th, 2012 ']","[' May 13th, 2015 ']",[' 830 Patent '],[' 35:271 Patent Infringement ']
['3:17-cv-04912'],"[' July 5th, 2017 ']","[' September 29th, 2017 ']",[' 840 Trademark '],[' 15:1051 Trademark Infringement ']
['2:15-cv-00739'],"[' February 1st, 2015 ']",,[' 840 Trademark '],[' 15:1051 Trademark Infringement ']
['1:19-cv-11225'],"[' December 5th, 2019 ']",,[' Trademark '],[' 15:1051 Trademark Infringement ']
['1:18-cv-10437'],"[' November 8th, 2018 ']","[' March 27th, 2019 ']",[' 840 Trademark '],[' 15:1051 Trademark Infringement ']
['1:19-cv-11336-VSB'],"[' December 10th, 2019 ']",,[' Trademark '],[' 15:1051 Trademark Infringement ']
['2:14-cv-07014'],"[' September 9th, 2014 ']",,[' 840 Trademark '],[' 15:1114 Trademark Infringement ']
['2:14-cv-07012'],"[' September 9th, 2014 ']","[' January 1st, 2015 ']",[' 840 Trademark '],[' 15:1114 Trademark Infringement ']
['3:18-cv-00121-RGJ-CHL'],"[' February 27th, 2018 ']",,[' Trademark '],[' 15:1114 Trademark Infringement ']
['2:08-cv-08191'],"[' December 10th, 2008 ']",,[' Trademark '],"["" 15:1114 Trademark Infringement '""]"
['1:12-cv-01032'],"[' August 13th, 2012 ']","[' May 13th, 2015 ']",[' 830 Patent '],[' 35:271 Patent Infringement ']
['3:17-cv-04912'],"[' July 5th, 2017 ']","[' September 29th, 2017 ']",[' 840 Trademark '],[' 15:1051 Trademark Infringement ']
['2:15-cv-00739'],"[' February 1st, 2015 ']",,[' 840 Trademark '],[' 15:1051 Trademark Infringement ']
['1:19-cv-11225'],"[' December 5th, 2019 ']",,[' Trademark '],[' 15:1051 Trademark Infringement ']
['1:18-cv-10437'],"[' November 8th, 2018 ']","[' March 27th, 2019 ']",[' 840 Trademark '],[' 15:1051 Trademark Infringement ']
['1:19-cv-11336-VSB'],"[' December 10th, 2019 ']",,[' Trademark '],[' 15:1051 Trademark Infringement ']
